candidate_id,first_name,last_name,party,status,votes,votes_avec_devolution,elu,elu_suppleant,position,guessed_sex,error_prob,election,circonscription,simplified_party,list_size,list_id,performance
0,Paul,MAGNETTE,PS,effectif,295339,295339,1,0,1,M,0.0004999005879512408,Parlement européen,Collège français,PS,8,491,equal
1,Maria,ARENA,PS,effectif,68981,209799,1,0,2,F,0.0009574737146368362,Parlement européen,Collège français,PS,8,491,equal
2,Hassan,BOUSETTA,PS,effectif,45790,45790,0,0,3,M,0.00017232465965877353,Parlement européen,Collège français,PS,8,491,equal
3,Coline,MAXENCE,PS,effectif,28604,28604,0,0,4,F,4.359768060335778e-05,Parlement européen,Collège français,PS,8,491,worse
4,Olga,ZRIHEN,PS,effectif,26165,26165,0,0,5,F,0.02190974493132758,Parlement européen,Collège français,PS,8,491,worse
5,Amet,GJANAJ,PS,effectif,24377,24377,0,0,6,M,0.0370370370370372,Parlement européen,Collège français,PS,8,491,worse
6,Christelle,MATHIEU,PS,effectif,29783,29783,0,0,7,F,6.413463141785591e-06,Parlement européen,Collège français,PS,8,491,better
7,Jérémy,BRICQ,PS,effectif,24297,24297,0,0,8,M,7.288735987431849e-06,Parlement européen,Collège français,PS,8,491,last
8,Marc,TARABELLA,PS,suppléant,54154,217053,0,1,1,M,0.0006405212935504112,Parlement européen,Collège français,PS,6,509,equal
9,Laurence,ANCIAUX,PS,suppléant,25374,140801,0,1,2,F,0.0008624032690291994,Parlement européen,Collège français,PS,6,509,equal
10,Pierre,HARDY,PS,suppléant,17203,17203,0,1,3,M,0.0008991709339185583,Parlement européen,Collège français,PS,6,509,worse
11,Cassandra,LUONGO,PS,suppléant,19689,19689,0,1,4,F,3.885003884995797e-05,Parlement européen,Collège français,PS,6,509,better
12,Haridi,NIYONZIMA,PS,suppléant,14264,14264,0,1,5,U,1.0,Parlement européen,Collège français,PS,6,509,equal
13,Nermin,CETIN,PS,suppléant,22297,22297,0,1,6,F,0.1728395061728395,Parlement européen,Collège français,PS,6,509,last
14,Marc,BOTENGA,PTB,effectif,68033,177942,1,0,1,M,0.0006405212935504112,Parlement européen,Collège français,PTB & PVDA,8,527,equal
15,Sophie,LECRON,PTB,effectif,34586,40503,0,0,2,F,0.00039272210732999024,Parlement européen,Collège français,PTB & PVDA,8,527,equal
16,Michel,BOISDEQUIN,PTB,effectif,18432,18432,0,0,3,M,0.0001859543629759708,Parlement européen,Collège français,PTB & PVDA,8,527,worse
17,Farah,JACQUET,PTB,effectif,19862,19862,0,0,4,F,0.006991685563114025,Parlement européen,Collège français,PTB & PVDA,8,527,worse
18,Danaé,MICHAUX MAIMONE,PTB,effectif,15279,15279,0,0,5,F,0.0004420866489831532,Parlement européen,Collège français,PTB & PVDA,8,527,worse
19,Mehdi,SALHI,PTB,effectif,29065,29065,0,0,6,M,2.067439889197331e-05,Parlement européen,Collège français,PTB & PVDA,8,527,better
20,Yasmina,MESSAOUDI,PTB,effectif,29347,29347,0,0,7,F,6.437491953137364e-05,Parlement européen,Collège français,PTB & PVDA,8,527,better
21,David,PESTIEAU,PTB,effectif,18317,18317,0,0,8,M,0.00026883760943274826,Parlement européen,Collège français,PTB & PVDA,8,527,last
22,Michaël,VERBAUWHEDE,PTB,suppléant,16613,177013,0,1,1,M,0.0003765748899864363,Parlement européen,Collège français,PTB & PVDA,6,544,equal
23,Rosa,TERRANOVA,PTB,suppléant,14309,14309,0,1,2,F,0.004295796256520434,Parlement européen,Collège français,PTB & PVDA,6,544,equal
24,Jean-Philippe,CAVYN,PTB,suppléant,9709,9709,0,1,3,M,2.1809299485253675e-05,Parlement européen,Collège français,PTB & PVDA,6,544,worse
25,Elisa,MUÑOZ GOMEZ,PTB,suppléant,11992,11992,0,1,4,F,1.9260029660350675e-05,Parlement européen,Collège français,PTB & PVDA,6,544,better
26,Monique,FORGET,PTB,suppléant,11487,11487,0,1,5,F,0.0006225574660707611,Parlement européen,Collège français,PTB & PVDA,6,544,better
27,Luis,CASILLAS Y GOMEZ,PTB,suppléant,11089,11089,0,1,6,M,0.0001011326860840267,Parlement européen,Collège français,PTB & PVDA,6,544,last
28,Benoît,CASSART,DéFI,effectif,22804,22804,0,0,1,M,0.0007880155280531875,Parlement européen,Collège français,DéFI,8,173,equal
29,Caroline,PERSOONS,DéFI,effectif,11392,11392,0,0,2,F,6.6448714881595095e-06,Parlement européen,Collège français,DéFI,8,173,equal
30,Jean-Claude,JAVAUX,DéFI,effectif,6271,6271,0,0,3,M,6.3496901352433355e-06,Parlement européen,Collège français,DéFI,8,173,worse
31,Véronique,LEDERMAN-BUCQUET,DéFI,effectif,5876,5876,0,0,4,F,0.00036880588374044176,Parlement européen,Collège français,DéFI,8,173,worse
32,Paul,CARTUYVELS,DéFI,effectif,4159,4159,0,0,5,M,0.0004999005879512408,Parlement européen,Collège français,DéFI,8,173,worse
33,Yaëlle,PETI,DéFI,effectif,6374,6374,0,0,6,F,0.00019900497512437276,Parlement européen,Collège français,DéFI,8,173,better
34,Margarita,NIKOLOVA,DéFI,effectif,4864,4864,0,0,7,F,0.0018691588785048063,Parlement européen,Collège français,DéFI,8,173,better
35,Olivier,MAINGAIN,DéFI,effectif,34575,34575,0,0,8,M,0.0001923851769035645,Parlement européen,Collège français,DéFI,8,173,last
36,Michele,AMEDEO,DéFI,suppléant,4194,4194,0,0,1,F,0.0030644406303635963,Parlement européen,Collège français,DéFI,6,192,worse
